Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 401: {'10': 551, '01': 123, '00': 165, '11': 185}
Counts for pub 402: {'11': 257, '10': 116, '00': 580, '01': 71}
Counts for pub 403: {'00': 809, '11': 167, '10': 13, '01': 35}
Counts for pub 404: {'10': 328, '00': 582, '11': 42, '01': 72}
Counts for pub 405: {'00': 1011, '01': 4, '10': 9}
Counts for pub 406: {'00': 1016, '01': 1, '10': 7}
Counts for pub 407: {'00': 352, '10': 208, '11': 205, '01': 259}
Counts for pub 408: {'00': 1011, '10': 7, '01': 6}
Counts for pub 409: {'00': 326, '11': 314, '10': 186, '01': 198}
Counts for pub 410: {'00': 411, '11': 517, '01': 44, '10': 52}
Counts for pub 411: {'00': 381, '11': 516, '10': 73, '01': 54}
Counts for pub 412: {'00': 589, '11': 54, '10': 45, '01': 336}
Counts for pub 413: {'10': 122, '01': 54, '11': 177, '00': 671}
Counts for pub 414: {'00': 376, '10': 208, '01': 242, '11': 198}
Counts for pub 415: {'00': 777, '10': 15, '11': 198, '01': 34}
Counts for pub 416: {'11': 498, '00': 403, '10': 74, '01': 49}
Counts for pub 417: {'01': 533, '00': 261, '11': 79, '10': 151}
Counts for pub 418: {'00': 395, '10': 351, '01': 134, '11': 144}
Counts for pub 419: {'01': 104, '10': 172, '11': 497, '00': 251}
Counts for pub 420: {'11': 353, '10': 136, '00': 375, '01': 160}
Counts for pub 421: {'11': 341, '00': 575, '01': 50, '10': 58}
Counts for pub 422: {'00': 718, '01': 258, '11': 12, '10': 36}
Counts for pub 423: {'00': 648, '11': 299, '10': 37, '01': 40}
Counts for pub 424: {'01': 113, '00': 543, '10': 310, '11': 58}
Counts for pub 425: {'11': 375, '01': 308, '10': 159, '00': 182}
Counts for pub 426: {'11': 617, '00': 363, '01': 15, '10': 29}
Counts for pub 427: {'01': 310, '00': 189, '11': 373, '10': 152}
Counts for pub 428: {'00': 621, '11': 321, '10': 36, '01': 46}
Counts for pub 429: {'00': 1014, '01': 6, '10': 4}
Counts for pub 430: {'00': 585, '01': 400, '11': 13, '10': 26}
Counts for pub 431: {'11': 567, '01': 88, '00': 315, '10': 54}
Counts for pub 432: {'00': 229, '11': 314, '10': 251, '01': 230}
Counts for pub 433: {'11': 529, '00': 373, '10': 66, '01': 56}
Counts for pub 434: {'00': 782, '11': 188, '10': 17, '01': 37}
Counts for pub 435: {'10': 311, '01': 130, '11': 68, '00': 515}
Counts for pub 436: {'11': 647, '10': 349, '00': 11, '01': 17}
Counts for pub 437: {'11': 722, '10': 140, '00': 85, '01': 77}
Counts for pub 438: {'00': 354, '11': 629, '10': 21, '01': 20}
Counts for pub 439: {'11': 119, '00': 518, '10': 317, '01': 70}
Counts for pub 440: {'00': 331, '11': 562, '01': 88, '10': 43}
Counts for pub 441: {'00': 355, '11': 632, '01': 20, '10': 17}
Counts for pub 442: {'00': 1016, '10': 7, '01': 1}
Counts for pub 443: {'10': 380, '00': 197, '11': 192, '01': 255}
Counts for pub 444: {'00': 166, '10': 345, '01': 154, '11': 359}
Counts for pub 445: {'11': 599, '00': 376, '10': 25, '01': 24}
Counts for pub 446: {'00': 609, '01': 114, '11': 236, '10': 65}
Counts for pub 447: {'10': 168, '11': 739, '00': 83, '01': 34}
Counts for pub 448: {'01': 220, '00': 403, '11': 138, '10': 263}
Counts for pub 449: {'11': 527, '01': 55, '00': 379, '10': 63}
Counts for pub 450: {'00': 403, '01': 538, '11': 43, '10': 40}
Counts for pub 451: {'00': 794, '01': 38, '11': 174, '10': 18}
Counts for pub 452: {'00': 807, '10': 22, '11': 165, '01': 30}
Counts for pub 453: {'01': 435, '10': 120, '00': 343, '11': 126}
Counts for pub 454: {'10': 211, '01': 319, '11': 216, '00': 278}
Counts for pub 455: {'10': 545, '00': 287, '01': 104, '11': 88}
Counts for pub 456: {'00': 561, '11': 341, '10': 50, '01': 72}
Counts for pub 457: {'00': 795, '10': 191, '01': 27, '11': 11}
Counts for pub 458: {'11': 712, '10': 192, '01': 35, '00': 85}
Counts for pub 459: {'00': 330, '01': 286, '10': 202, '11': 206}
Counts for pub 460: {'01': 641, '11': 38, '10': 260, '00': 85}
Counts for pub 461: {'00': 1015, '10': 5, '01': 4}
Counts for pub 462: {'11': 755, '00': 143, '01': 80, '10': 46}
Counts for pub 463: {'01': 329, '00': 578, '10': 53, '11': 64}
Counts for pub 464: {'00': 338, '01': 280, '10': 208, '11': 198}
Counts for pub 465: {'11': 566, '00': 314, '10': 56, '01': 88}
Counts for pub 466: {'10': 241, '11': 126, '01': 215, '00': 442}
Counts for pub 467: {'10': 661, '01': 69, '00': 96, '11': 198}
Counts for pub 468: {'11': 166, '00': 803, '01': 35, '10': 20}
Counts for pub 469: {'00': 824, '11': 149, '01': 37, '10': 14}
Counts for pub 470: {'00': 609, '10': 296, '01': 70, '11': 49}
Counts for pub 471: {'00': 299, '10': 212, '01': 219, '11': 294}
Counts for pub 472: {'01': 308, '11': 371, '00': 196, '10': 149}
Counts for pub 473: {'00': 322, '11': 546, '10': 53, '01': 103}
Counts for pub 474: {'11': 203, '00': 455, '10': 246, '01': 120}
Counts for pub 475: {'00': 458, '01': 131, '10': 177, '11': 258}
Counts for pub 476: {'00': 587, '11': 250, '10': 115, '01': 72}
Counts for pub 477: {'10': 623, '00': 245, '11': 59, '01': 97}
Counts for pub 478: {'00': 803, '01': 117, '11': 81, '10': 23}
Counts for pub 479: {'00': 785, '11': 185, '01': 34, '10': 20}
Counts for pub 480: {'11': 627, '00': 349, '10': 27, '01': 21}
Counts for pub 481: {'11': 160, '10': 560, '01': 132, '00': 172}
Counts for pub 482: {'01': 70, '11': 237, '00': 613, '10': 104}
Counts for pub 483: {'00': 850, '01': 34, '11': 131, '10': 9}
Counts for pub 484: {'00': 577, '10': 336, '01': 63, '11': 48}
Counts for pub 485: {'00': 1011, '01': 7, '10': 6}
Counts for pub 486: {'01': 4, '00': 1014, '10': 6}
Counts for pub 487: {'01': 295, '00': 302, '10': 217, '11': 210}
Counts for pub 488: {'00': 1012, '01': 3, '10': 9}
Counts for pub 489: {'10': 215, '01': 216, '11': 285, '00': 308}
Counts for pub 490: {'00': 400, '11': 499, '10': 63, '01': 62}
Counts for pub 491: {'11': 528, '00': 376, '10': 65, '01': 55}
Counts for pub 492: {'00': 571, '01': 340, '11': 64, '10': 49}
Counts for pub 493: {'00': 689, '10': 124, '11': 156, '01': 55}
Counts for pub 494: {'11': 211, '00': 352, '01': 242, '10': 219}
Counts for pub 495: {'00': 802, '11': 159, '01': 45, '10': 18}
Counts for pub 496: {'11': 519, '00': 387, '01': 52, '10': 66}
Counts for pub 497: {'01': 572, '00': 244, '10': 129, '11': 79}
Counts for pub 498: {'00': 400, '10': 351, '11': 132, '01': 141}
Counts for pub 499: {'11': 468, '00': 259, '10': 181, '01': 116}
Counts for pub 500: {'00': 394, '11': 323, '01': 160, '10': 147}
Counts for pub 501: {'00': 593, '11': 335, '10': 44, '01': 52}
Counts for pub 502: {'00': 722, '01': 258, '10': 25, '11': 19}
Counts for pub 503: {'11': 283, '10': 38, '00': 669, '01': 34}
Counts for pub 504: {'10': 316, '11': 57, '01': 123, '00': 528}
Counts for pub 505: {'00': 199, '11': 356, '10': 166, '01': 303}
Counts for pub 506: {'11': 617, '00': 368, '01': 17, '10': 22}
Counts for pub 507: {'11': 342, '01': 286, '00': 239, '10': 157}
Counts for pub 508: {'00': 624, '11': 318, '01': 44, '10': 38}
Counts for pub 509: {'00': 1007, '01': 4, '10': 13}
Counts for pub 510: {'00': 588, '01': 399, '10': 21, '11': 16}
Counts for pub 511: {'00': 317, '11': 562, '01': 85, '10': 60}
Counts for pub 512: {'00': 245, '11': 276, '01': 228, '10': 275}
Counts for pub 513: {'11': 505, '00': 398, '10': 66, '01': 55}
Counts for pub 514: {'00': 810, '11': 153, '10': 18, '01': 43}
Counts for pub 515: {'00': 564, '10': 280, '11': 63, '01': 117}
Counts for pub 516: {'11': 666, '10': 330, '01': 12, '00': 16}
Counts for pub 517: {'11': 734, '00': 112, '10': 112, '01': 66}
Counts for pub 518: {'00': 374, '11': 602, '10': 23, '01': 25}
Counts for pub 519: {'00': 548, '11': 94, '10': 316, '01': 66}
Counts for pub 520: {'00': 305, '11': 569, '01': 91, '10': 59}
Counts for pub 521: {'11': 614, '10': 22, '00': 367, '01': 21}
Counts for pub 522: {'00': 1015, '10': 8, '01': 1}
Counts for pub 523: {'00': 170, '10': 391, '11': 181, '01': 282}
Counts for pub 524: {'00': 145, '01': 126, '10': 345, '11': 408}
Counts for pub 525: {'00': 374, '11': 595, '10': 31, '01': 24}
Counts for pub 526: {'00': 618, '11': 246, '01': 97, '10': 63}
Counts for pub 527: {'11': 755, '10': 169, '00': 73, '01': 27}
Counts for pub 528: {'01': 194, '10': 274, '11': 132, '00': 424}
Counts for pub 529: {'00': 382, '11': 510, '01': 60, '10': 72}
Counts for pub 530: {'01': 548, '00': 390, '11': 48, '10': 38}
Counts for pub 531: {'00': 822, '01': 35, '11': 153, '10': 14}
Counts for pub 532: {'11': 159, '00': 815, '10': 18, '01': 32}
Counts for pub 533: {'01': 457, '11': 114, '00': 331, '10': 122}
Counts for pub 534: {'00': 263, '01': 290, '11': 246, '10': 225}
Counts for pub 535: {'10': 544, '00': 303, '01': 90, '11': 87}
Counts for pub 536: {'11': 344, '00': 567, '10': 52, '01': 61}
Counts for pub 537: {'00': 803, '10': 183, '01': 25, '11': 13}
Counts for pub 538: {'00': 75, '11': 729, '01': 25, '10': 195}
Counts for pub 539: {'10': 223, '00': 325, '01': 292, '11': 184}
Counts for pub 540: {'01': 612, '10': 298, '00': 80, '11': 34}
Counts for pub 541: {'00': 1011, '01': 5, '10': 8}
Counts for pub 542: {'00': 155, '10': 49, '11': 741, '01': 79}
Counts for pub 543: {'01': 337, '00': 566, '11': 72, '10': 49}
Counts for pub 544: {'00': 310, '10': 212, '01': 286, '11': 216}
Counts for pub 545: {'00': 292, '11': 549, '10': 76, '01': 107}
Counts for pub 546: {'00': 411, '10': 272, '11': 141, '01': 200}
Counts for pub 547: {'10': 669, '11': 182, '01': 50, '00': 123}
Counts for pub 548: {'00': 827, '11': 153, '01': 36, '10': 8}
Counts for pub 549: {'11': 155, '00': 808, '01': 42, '10': 19}
Counts for pub 550: {'10': 347, '00': 569, '01': 62, '11': 46}
Counts for pub 551: {'00': 311, '10': 207, '01': 217, '11': 289}
Counts for pub 552: {'10': 163, '00': 175, '11': 370, '01': 316}
Counts for pub 553: {'10': 69, '01': 117, '00': 308, '11': 530}
Counts for pub 554: {'00': 437, '10': 277, '01': 106, '11': 204}
Counts for pub 555: {'10': 174, '11': 273, '00': 448, '01': 129}
Counts for pub 556: {'01': 62, '00': 600, '11': 258, '10': 104}
Counts for pub 557: {'10': 616, '01': 115, '00': 220, '11': 73}
Counts for pub 558: {'00': 792, '01': 121, '11': 80, '10': 31}
Counts for pub 559: {'01': 41, '00': 807, '11': 158, '10': 18}
Counts for pub 560: {'11': 247, '10': 240, '01': 267, '00': 270}
Counts for pub 561: {'11': 807, '10': 174, '01': 31, '00': 12}
Counts for pub 562: {'10': 513, '00': 211, '01': 99, '11': 201}
Counts for pub 563: {'00': 277, '11': 214, '10': 151, '01': 382}
Counts for pub 564: {'00': 541, '11': 271, '01': 127, '10': 85}
Counts for pub 565: {'10': 209, '11': 194, '00': 345, '01': 276}
Counts for pub 566: {'11': 186, '00': 316, '10': 237, '01': 285}
Counts for pub 567: {'00': 1004, '01': 9, '10': 11}
Counts for pub 568: {'10': 218, '01': 262, '00': 326, '11': 218}
Counts for pub 569: {'10': 565, '00': 57, '11': 317, '01': 85}
Counts for pub 570: {'01': 430, '10': 153, '00': 196, '11': 245}
Counts for pub 571: {'11': 266, '01': 410, '10': 165, '00': 183}
Counts for pub 572: {'11': 276, '00': 200, '01': 287, '10': 261}
Counts for pub 573: {'10': 346, '01': 264, '00': 185, '11': 229}
Counts for pub 574: {'00': 497, '11': 359, '01': 83, '10': 85}
Counts for pub 575: {'01': 376, '10': 173, '00': 275, '11': 200}
Counts for pub 576: {'11': 238, '01': 416, '00': 205, '10': 165}
Counts for pub 577: {'01': 760, '11': 209, '00': 42, '10': 13}
Counts for pub 578: {'00': 371, '11': 443, '01': 105, '10': 105}
Counts for pub 579: {'01': 542, '00': 133, '11': 127, '10': 222}
Counts for pub 580: {'11': 105, '10': 75, '00': 766, '01': 78}
Counts for pub 581: {'00': 581, '11': 94, '10': 159, '01': 190}
Counts for pub 582: {'11': 451, '01': 367, '10': 100, '00': 106}
Counts for pub 583: {'01': 406, '11': 139, '10': 100, '00': 379}
Counts for pub 584: {'00': 779, '11': 124, '01': 101, '10': 20}
Counts for pub 585: {'00': 570, '01': 386, '10': 36, '11': 32}
Counts for pub 586: {'10': 239, '00': 289, '01': 267, '11': 229}
Counts for pub 587: {'01': 396, '00': 543, '11': 40, '10': 45}
Counts for pub 588: {'01': 345, '00': 223, '11': 268, '10': 188}
Counts for pub 589: {'11': 200, '00': 329, '01': 272, '10': 223}
Counts for pub 590: {'11': 473, '01': 362, '10': 102, '00': 87}
Counts for pub 591: {'01': 180, '11': 286, '00': 218, '10': 340}
Counts for pub 592: {'11': 967, '00': 21, '10': 21, '01': 15}
Counts for pub 593: {'10': 151, '11': 468, '01': 303, '00': 102}
Counts for pub 594: {'11': 210, '01': 396, '10': 148, '00': 270}
Counts for pub 595: {'00': 765, '11': 145, '01': 88, '10': 26}
Counts for pub 596: {'11': 424, '10': 128, '01': 264, '00': 208}
Counts for pub 597: {'01': 322, '10': 401, '11': 149, '00': 152}
Counts for pub 598: {'11': 227, '10': 256, '00': 301, '01': 240}
Counts for pub 599: {'10': 183, '01': 172, '00': 347, '11': 322}
Counts for pub 600: {'11': 279, '00': 216, '01': 205, '10': 324}
Counts for pub 601: {'01': 257, '10': 247, '11': 224, '00': 296}
Counts for pub 602: {'01': 297, '11': 199, '00': 302, '10': 226}
Counts for pub 603: {'00': 743, '10': 115, '01': 114, '11': 52}
Counts for pub 604: {'10': 610, '00': 369, '01': 22, '11': 23}
Counts for pub 605: {'01': 282, '10': 252, '11': 232, '00': 258}
Counts for pub 606: {'00': 150, '10': 48, '01': 644, '11': 182}
Counts for pub 607: {'01': 401, '11': 491, '10': 64, '00': 68}
Counts for pub 608: {'00': 931, '01': 38, '11': 43, '10': 12}
Counts for pub 609: {'10': 150, '00': 111, '11': 466, '01': 297}
Counts for pub 610: {'10': 128, '00': 788, '11': 69, '01': 39}
Counts for pub 611: {'10': 164, '11': 217, '01': 393, '00': 250}
Counts for pub 612: {'11': 283, '10': 219, '00': 287, '01': 235}
Counts for pub 613: {'11': 207, '01': 783, '10': 8, '00': 26}
Counts for pub 614: {'00': 654, '11': 219, '01': 44, '10': 107}
Counts for pub 615: {'10': 173, '11': 319, '01': 174, '00': 358}
Counts for pub 616: {'10': 163, '00': 598, '01': 179, '11': 84}
Counts for pub 617: {'10': 403, '11': 346, '00': 143, '01': 132}
Counts for pub 618: {'11': 199, '00': 200, '01': 266, '10': 359}
Counts for pub 619: {'00': 1014, '10': 6, '01': 4}
Counts for pub 620: {'00': 198, '10': 221, '11': 389, '01': 216}
Counts for pub 621: {'10': 234, '11': 200, '01': 268, '00': 322}
Counts for pub 622: {'11': 579, '10': 296, '00': 55, '01': 94}
Counts for pub 623: {'01': 296, '10': 250, '11': 243, '00': 235}
Counts for pub 624: {'00': 1013, '10': 4, '01': 7}
Counts for pub 625: {'11': 305, '01': 191, '00': 207, '10': 321}
Counts for pub 626: {'00': 923, '10': 14, '11': 42, '01': 45}
Counts for pub 627: {'11': 748, '10': 133, '00': 74, '01': 69}
Counts for pub 628: {'00': 250, '11': 298, '01': 247, '10': 229}
Counts for pub 629: {'10': 215, '01': 232, '00': 269, '11': 308}
Counts for pub 630: {'00': 538, '11': 261, '10': 78, '01': 147}
Counts for pub 631: {'00': 417, '10': 474, '01': 71, '11': 62}
Counts for pub 632: {'01': 394, '11': 45, '00': 554, '10': 31}
Counts for pub 633: {'11': 504, '10': 390, '01': 79, '00': 51}
Counts for pub 634: {'11': 383, '10': 343, '01': 157, '00': 141}
Counts for pub 635: {'00': 505, '10': 160, '11': 183, '01': 176}
Counts for pub 636: {'10': 521, '00': 189, '11': 215, '01': 99}
Counts for pub 637: {'00': 583, '10': 88, '01': 295, '11': 58}
Counts for pub 638: {'10': 131, '11': 364, '01': 386, '00': 143}
Counts for pub 639: {'00': 272, '11': 226, '01': 374, '10': 152}
Counts for pub 640: {'00': 367, '11': 621, '01': 23, '10': 13}
Counts for pub 641: {'10': 556, '11': 178, '01': 123, '00': 167}
Counts for pub 642: {'11': 252, '01': 70, '00': 614, '10': 88}
Counts for pub 643: {'00': 799, '01': 41, '11': 168, '10': 16}
Counts for pub 644: {'10': 324, '00': 578, '01': 71, '11': 51}
Counts for pub 645: {'00': 1009, '10': 8, '01': 7}
Counts for pub 646: {'00': 1011, '10': 12, '01': 1}
Counts for pub 647: {'11': 225, '01': 256, '10': 218, '00': 325}
Counts for pub 648: {'10': 5, '00': 1018, '01': 1}
Counts for pub 649: {'11': 318, '00': 327, '01': 193, '10': 186}
Counts for pub 650: {'11': 529, '00': 379, '10': 65, '01': 51}
Counts for pub 651: {'00': 408, '11': 500, '01': 62, '10': 54}
Counts for pub 652: {'01': 338, '00': 559, '10': 45, '11': 82}
Counts for pub 653: {'00': 677, '11': 170, '10': 109, '01': 68}
Counts for pub 654: {'10': 205, '00': 362, '11': 174, '01': 283}
Counts for pub 655: {'11': 175, '00': 789, '01': 44, '10': 16}
Counts for pub 656: {'00': 375, '11': 537, '10': 56, '01': 56}
Counts for pub 657: {'00': 235, '01': 577, '10': 139, '11': 73}
Counts for pub 658: {'00': 402, '01': 139, '10': 341, '11': 142}
Counts for pub 659: {'11': 481, '01': 111, '00': 236, '10': 196}
Counts for pub 660: {'01': 170, '10': 150, '00': 370, '11': 334}
Counts for pub 661: {'11': 361, '00': 551, '01': 55, '10': 57}
Counts for pub 662: {'00': 689, '10': 46, '01': 266, '11': 23}
Counts for pub 663: {'00': 632, '11': 318, '10': 40, '01': 34}
Counts for pub 664: {'11': 64, '00': 533, '10': 322, '01': 105}
Counts for pub 665: {'11': 364, '00': 185, '10': 187, '01': 288}
Counts for pub 666: {'00': 339, '11': 643, '10': 22, '01': 20}
Counts for pub 667: {'00': 203, '01': 285, '11': 358, '10': 178}
Counts for pub 668: {'11': 321, '00': 621, '01': 47, '10': 35}
Counts for pub 669: {'00': 1016, '01': 3, '10': 5}
Counts for pub 670: {'10': 31, '01': 388, '00': 588, '11': 17}
Counts for pub 671: {'00': 327, '11': 544, '01': 94, '10': 59}
Counts for pub 672: {'10': 263, '11': 296, '01': 236, '00': 229}
Counts for pub 673: {'00': 411, '01': 41, '11': 518, '10': 54}
Counts for pub 674: {'00': 801, '01': 37, '11': 166, '10': 20}
Counts for pub 675: {'00': 538, '10': 315, '01': 107, '11': 64}
Counts for pub 676: {'10': 342, '11': 657, '01': 9, '00': 16}
Counts for pub 677: {'00': 88, '10': 115, '11': 736, '01': 85}
Counts for pub 678: {'11': 599, '01': 20, '00': 387, '10': 18}
Counts for pub 679: {'00': 513, '10': 351, '01': 74, '11': 86}
Counts for pub 680: {'01': 97, '00': 299, '11': 569, '10': 59}
Counts for pub 681: {'11': 612, '00': 366, '10': 29, '01': 17}
Counts for pub 682: {'00': 1014, '10': 8, '01': 2}
Counts for pub 683: {'01': 265, '11': 182, '00': 190, '10': 387}
Counts for pub 684: {'00': 146, '10': 367, '01': 131, '11': 380}
Counts for pub 685: {'11': 621, '00': 359, '01': 22, '10': 22}
Counts for pub 686: {'00': 640, '01': 90, '11': 235, '10': 59}
Counts for pub 687: {'11': 734, '10': 181, '01': 33, '00': 76}
Counts for pub 688: {'10': 248, '11': 133, '00': 425, '01': 218}
Counts for pub 689: {'11': 505, '10': 61, '00': 411, '01': 47}
Counts for pub 690: {'00': 397, '01': 513, '11': 63, '10': 51}
Counts for pub 691: {'00': 813, '11': 161, '01': 33, '10': 17}
Counts for pub 692: {'11': 162, '00': 809, '01': 38, '10': 15}
Counts for pub 693: {'00': 339, '01': 455, '10': 128, '11': 102}
Counts for pub 694: {'01': 301, '10': 254, '00': 256, '11': 213}
Counts for pub 695: {'10': 516, '00': 317, '01': 96, '11': 95}
Counts for pub 696: {'00': 582, '11': 341, '01': 46, '10': 55}
Counts for pub 697: {'00': 794, '10': 199, '11': 14, '01': 17}
Counts for pub 698: {'11': 741, '00': 75, '10': 182, '01': 26}
Counts for pub 699: {'00': 355, '11': 206, '10': 205, '01': 258}
Counts for pub 700: {'10': 266, '01': 613, '00': 102, '11': 43}
Counts for pub 701: {'00': 1011, '01': 5, '10': 8}
Counts for pub 702: {'11': 723, '00': 170, '01': 92, '10': 39}
Counts for pub 703: {'01': 328, '00': 581, '10': 49, '11': 66}
Counts for pub 704: {'00': 352, '11': 176, '10': 221, '01': 275}
Counts for pub 705: {'11': 566, '10': 55, '00': 314, '01': 89}
Counts for pub 706: {'00': 442, '10': 250, '01': 218, '11': 114}
Counts for pub 707: {'10': 656, '00': 124, '11': 199, '01': 45}
Counts for pub 708: {'01': 27, '00': 823, '11': 154, '10': 20}
Counts for pub 709: {'00': 795, '11': 163, '01': 46, '10': 20}
Counts for pub 710: {'10': 332, '00': 556, '11': 55, '01': 81}
Counts for pub 711: {'11': 286, '01': 206, '10': 198, '00': 334}
Counts for pub 712: {'11': 361, '00': 206, '01': 309, '10': 148}
Counts for pub 713: {'11': 570, '01': 77, '00': 322, '10': 55}
